id,value
php.mysql.sql.laravel,12
python.lambda,14
android.android-ndk.gdb.gdbserver,13
c++.exception,13
python.django.python-2.7.django-admin.django-admin-filters,16
java.java-8.java-stream.variadic-functions.type-inference,18
r.string.date,13
c++.c++11.templates.variadic-templates.template-deduction,12
c++.static-assert.incomplete-type,11
python.arrays.multidimensional-array,15
r.for-loop,14
c++.oop.templates.operator-overloading,14
c++.noexcept,29
android.gradle.build,36
javascript.html.google-chrome.youtube.youtube-api,46
c++.pointers.reference.optional.c++-standard-library,15
c++.memory-management.stdvector,19
machine-learning.gpu.ram.google-colaboratory,12
c.gcc.compiler-optimization,28
python.django.django-models.django-forms.django-queryset,13
c++.constructor.crash.virtual.abstract,16
php.docker.iis.laravel-5,13
php.bash.apache,13
python.list,11
c++.variant.c++17,16
reactjs.react-router.react-router-v4.dynamic-routing,13
android-studio.gradle.kotlin,11
java.java-8,15
arrays.algorithm.time-complexity.big-o.space-complexity,13
c++.exception-handling.try-catch,12
c++.c.multidimensional-array.compile-time,24
python.parsing.sequence,12
c++.visual-studio.initialization.clang.language-lawyer,16
java.polymorphism,16
java.lambda.java-8.java-9,18
c#..net.dynamic.lambda,11
javascript.webpack.webpack-2.html-webpack-plugin,11
c++.templates.clang.language-lawyer.template-specialization,17
c++.gcc.compiler-optimization,28
python.python-3.x.search.google-api.google-custom-search,11
java.arrays.algorithm.language-agnostic.heuristics,11
python.numpy.matrix.machine-learning.neural-network,11
reactjs.react-router.react-redux.react-router-redux,14
node.js.webpack.webpack-4,15
java.hashmap,46
google-chrome.docker.websocket.puppeteer,11
swift.macos.swizzling,18
rust.traits,11
c++.templates.language-lawyer.auto.c++17,21
java.string.java-8.java-stream.java-9,18
php.laravel.composer-php.laravel-5.6,13
python.django.celery.celerybeat,12
android.android-studio.samsung-mobile.samsung-galaxy,28
java.android.gradle.android-gradle.build-tools,19
python.python-3.x,13
c++.c++11.constructor.initializer-list.c++-standard-library,11
javascript.mixpanel,74
javascript.embed.pinterest,15
c++.templates.mfc.c++17,15
java.filter.java-8.java-stream.data-partitioning,35
java.javafx.jpeg,15
c.memory-management.strict-aliasing,18
python.http.httplib,13
rust,32
python.hash.set.immutability,14
c++.scope.initializer-list,25
javascript.facebook.facebook-graph-api.console,17
winapi.uwp.cryptography.signtool.authenticode,15
angular.angular2-template,12
python.machine-learning.svm,11
linux.performance.assembly.x86-64.perf,11
python.python-3.x.ipython.packages.del,42
c++.c++14.zero-initialization,19
firebase.npm.firebase-database.google-cloud-functions,12
javascript,25
c++.overloading.language-lawyer.api-design.default-arguments,16
c++.constructor.stdvector,20
haskell.set.list-comprehension,12
c++.c++11.language-lawyer.destructor.noexcept,31
angularjs.ajax.performance.google-chrome,17
