id,value
git.intellij-idea.ssh,16
python.git.ssh.bitbucket.paramiko,15
haskell.ghc,21
c++.sockets.boost.tcp.boost-asio,19
java.java-8.java-stream,16
c#.nuget.visual-studio-2017,18
java.collections.null.case-insensitive,12
android.gps.google-maps-android-api-2.google-location-services,11
ios.swift.swift4,13
r.ggplot2,11
java.android.android-fragments.android-view.android-lifecycle,11
java.sql.oracle,22
python.tweepy,11
node.js.cpu.socks,11
java.java-8.optional,12
node.js.angular.install.angular-cli,20
types.signature.perl6,11
java.javac.java-9.nosuchfieldexception,18
python.python-3.x.syntax-error.python-internals,27
android.android-resources.android-assets,12
java.android.junit.android-testing.android-instrumentation,12
c++.c.language-lawyer,35
css.webpack.css-modules,11
firebase.google-cloud-functions,13
jquery.ios.mobile-safari,12
r.data.table,16
docker,11
c++.language-lawyer.reinterpret-cast.strict-aliasing.c++17,25
c.pointers.compilation,31
airflow,13
java.php.android.retrofit.postman,14
c++.string.c++11.constructor,20
c#..net.delphi.com.winsxs,17
reactjs.react-native.navigation.react-navigation,11
java.java-8.java-stream.java-9,14
c.arrays.pointers.arrayofarrays,30
google-cloud-platform.google-compute-engine.apt.ubuntu-17.04,12
python.c++.opencv.tesseract.cv2,18
python.numpy.tensorflow,16
c++.language-lawyer,15
git.terminal.zsh.git-branch.oh-my-zsh,17
python.comparison.python-internals,14
c#..net,16
c++.types.language-lawyer.function-pointers,30
javascript.youtube-api,14
python.algorithm.python-2.7.numpy.scipy,16
python.unicode.syntax.identifier,12
python.sqlite.dictionary.key-value-store,13
git.ssh.tortoisegit,11
java.spring.netty.resttemplate.asyncresttemplate,11
c++.g++.compiler-optimization.undefined-behavior.clang++,23
c#.asp.net.web-config.web.config-transform,13
php.amazon-s3.aws-sdk.aws-php-sdk,13
c++.language-lawyer.c++17,11
java.design,21
android.ios.android-emulator.ibm-mobilefirst.haxm,18
c#..net.asp.net-web-api,18
angular.ssl.spring-boot.cas,12
ios.buddy-build,21
python.django.postgresql.django-queryset.django-1.10,13
javascript.reactjs.react-component,15
ios.angular.ionic-framework.safari.ionic2,14
c#.equality,14
pandas.numpy.cython,12
javascript.html.google-chrome.firefox.cors,19
java.haskell.algebraic-data-types,34
haskell.mutual-recursion,17
c#.asp.net.vb.net.gridview.nested-gridview,16
php.configuration.composer-php,12
android.rx-java2.rx-android,11
cakephp.newrelic,11
android.amazon-web-services.aws-api-gateway,14
r.dplyr,12
android.c++.qt.android-sdk-tools.qt5.10,21
c++.c++-concepts.c++20,11
ios.itunesconnect.testflight,14
android,13
constructor.initialization.kotlin.declaration,17
c++.class.c++11.struct.visual-c++-2015,11
c++.c++14.chrono,11
javascript.async-await.operator-precedence,14
c++.templates.gcc.clang.language-lawyer,14
c++.typetraits,29
c.arrays.string.memory,14
r.subset,12
python.string.python-3.x.random,21
git.tortoisegit,12
c#.asp.net-core..net-core,15
pdf.unicode.itext.pdf-form,12
node.js.angular.heroku.angular5.package.json,13
.net.asp.net-core.nuget.bootstrap-4.asp.net-core-2.0,11
aws-lambda.aws-api-gateway.api-gateway,16
perl6,11
typescript.flowtype,11
c++.c.function-pointers.compiler-warnings.comdat-folding,30
c++.c++11.std-pair.static-assert,20
ruby.regex,18
c#.class.reflection.system.reflection,33
android.android-keystore,11
c++.c.pointers.struct,13
javascript.google-chrome.google-chrome-extension,16
web-scraping.screen-scraping.python-multiprocessing.python-multithreading.joblib,11
python.performance.numpy.linear-algebra.numpy-broadcasting,15
java,64
javascript.jquery,47
java.java-8.java-stream.java-9,18
java.android.android-source,13
delphi,11
javascript,30
c#.php.asp.net-mvc.httpclient.webclient,16
java.swing,13
javascript.node.js.mongodb.express.mongoose,11
firebase.npm.google-cloud-functions,12
javascript.reactjs.react-router,13
javascript.web-audio.web-audio-api,11
javascript.angular.ecmascript-6.angular-cli,26
java.android.android-sdcard.sd-card.usb-otg,14
html.css.gulp.mime-types.browser-sync,21
c++.c++11.templates.standards-compliance.partial-ordering,15
haskell.lazy-evaluation.ghc.order-of-evaluation,17
android.networking.android-wifi.mobile-data.android-connectivitymanager,11
apache-spark.jdbc.hive.pyspark.hortonworks-data-platform,20
c++,19
javascript.html.angular.angular-material2,23
