id,value
javascript.web.webpack.webpack-4,20
php,12
c#.xaml.xamarin.xamarin.forms.xamarin.android,12
c++.gcc.vector.compiler-optimization.compiler-bug,43
javascript.reactjs.redux,11
r.ggplot2.facet,11
javascript.html.css.vue.js,11
javascript.html.incognito-mode.private-bower,12
javascript.node.js.npm,14
php.mysql,16
java.dependency-injection.jersey.dagger-2.jsr330,13
mysql.backup,12
scala,40
javascript.stream.response.microsoft-edge,12
java.regex.verbose,43
php.node.js.database.api.web-services,13
android.rx-java2.rx-android.rx-binding,12
python.hyperlink.http-status-code-404.wget,13
azure-active-directory.azure-ad-b2c,14
haskell.ghc,12
php.mysql.mariadb.cpanel.phalcon,12
c++.c++11.c++03,14
javascript.html.svg.svg-animate.anime.js,13
c++.templates.syntax.standards.member-functions,11
c#.azure.asp.net-identity.owin.azure-active-directory,16
r.data.table,20
python.string.visual-studio-code,21
android.kotlin,14
java.maven.java-10,13
java.maven.javadoc.maven-javadoc-plugin.java-10,16
haskell.monads,13
java.multithreading.java-9.threadpoolexecutor.completable-future,12
android.android-studio.android-gradle.android-instrumentation,12
c++.c.extern,11
python.pandas.pandas-groupby,16
delphi.accessibility.delphi-xe6.uiaccessibility,15
python.string.algorithm.list,12
sql.node.js.postgresql.async-await,17
c++.protected.access-specifier.member-pointers,47
ios.xcode.git,40
ios.itunesconnect,16
javascript.html.css.css3.flexbox,40
android.android-layout.android-activity.kotlin.android-view,22
javascript.html.angular.typescript.routing,12
json.rust.serde,15
c++.c++17.string-conversion,12
java.android.react-native.react-native-android.onesignal,13
c.windows.visual-studio-2015,13
python.jupyter-notebook.jupyter.miniconda,11
python.python-3.x.operator-overloading,14
ios.react-native.webview,14
php.amazon-web-services.elasticsearch.laravel-5,12
android.kotlin.android-gradle.rendering.android-support-library,15
python.python-2.7.cpython.python-internals,50
c++.operator-precedence,20
java.eclipse.maven.maven-2,12
c++.c.llvm.strict-aliasing,25
javascript.jquery.html.jquery-plugins.footable,14
java.javafx.webview.javafx-webview,30
